doc_id,title,text,source_key
0,Guinea-Bissau,"Despite reports of arms entering the country prior to the election and some ""disturbances during campaigning,"" including attacks on government offices by unidentified gunmen, foreign election monitors described the 2005 election overall as ""calm and organized"".",93:14:0
1,Franco-Prussian_War,"At the outset of the Franco-Prussian War, 462,000 German soldiers concentrated on the French frontier while only 270,000 French soldiers could be moved to face them, the French army having lost 100,000 stragglers before a shot was fired through poor planning and administration. This was partly due to the peacetime organisations of the armies. Each Prussian Corps was based within a Kreis (literally ""circle"") around the chief city in an area. Reservists rarely lived more than a day's travel from their regiment's depot. By contrast, French regiments generally served far from their depots, which in turn were not in the areas of France from which their soldiers were drawn. Reservists often faced several days' journey to report to their depots, and then another long journey to join their regiments. Large numbers of reservists choked railway stations, vainly seeking rations and orders.",163:55:0
2,Swaziland,"Following the elections of 1973, the constitution of Swaziland was suspended by King Sobhuza II who thereafter ruled the country by decree until his death in 1982. At this point Sobhuza II had ruled Swaziland for 61 years, making him the longest ruling monarch in history. A regency followed his death, with Queen Regent Dzeliwe Shongwe being head of state until 1984 when she was removed by Liqoqo and replaced by Queen Mother Ntfombi Tfwala. Mswati III, the son of Ntfombi, was crowned king on 25 April 1986 as King and Ingwenyama of Swaziland.",406:5:0
3,Buddhism,"Dwight Goddard collected a sample of Buddhist scriptures, with the emphasis on Zen, along with other classics of Eastern philosophy, such as the Tao Te Ching, into his 'Buddhist Bible' in the 1920s. More recently, Dr. Babasaheb Ambedkar attempted to create a single, combined document of Buddhist principles in ""The Buddha and His Dhamma"". Other such efforts have persisted to present day, but currently there is no single text that represents all Buddhist traditions.",18:135:0
4,Armenia,"Armenia is a unitary, multi-party, democratic nation-state with an ancient cultural heritage. Urartu was established in 860 BC and by the 6th century BC it was replaced by the Satrapy of Armenia. In the 1st century BC the Kingdom of Armenia reached its height under Tigranes the Great. Armenia became the first state in the world to adopt Christianity as its official religion. In between the late 3rd century to early years of the 4th century, the state became the first Christian nation. The official date of state adoption of Christianity is 301 AD. The ancient Armenian kingdom was split between the Byzantine and Sasanian Empires around the early 5th century.",391:0:0
5,Wood,"The Earth contains about 434 billion cubic meters of growing stock forest, 47% of which is commercial. As an abundant, carbon-neutral renewable resource, woody materials have been of intense interest as a source of renewable energy. In 1991, approximately 3.5 cubic kilometers of wood were harvested. Dominant uses were for furniture and building construction.",100:1:0
6,Red,"In nature, the red color of blood comes from hemoglobin, the iron-containing protein found in the red blood cells of all vertebrates. The red color of the Grand Canyon and other geological features is caused by hematite or red ochre, both forms of iron oxide. It also causes the red color of the planet Mars. The red sky at sunset and sunrise is caused by an optical effect known as Rayleigh scattering, which, when the sun is low or below the horizon, increases the red-wavelength light that reaches the eye. The color of autumn leaves is caused by pigments called anthocyanins, which are produced towards the end of summer, when the green chlorophyll is no longer produced. One to two percent of the human population has red hair; the color is produced by high levels of the reddish pigment pheomelanin (which also accounts for the red color of the lips) and relatively low levels of the dark pigment eumelanin.",369:1:0
7,Quran,"The physicist Abdus Salam, in his Nobel Prize banquet address, quoted a well known verse from the Quran (67:3-4) and then stated: ""This in effect is the faith of all physicists: the deeper we seek, the more is our wonder excited, the more is the dazzlement of our gaze"". One of Salam's core beliefs was that there is no contradiction between Islam and the discoveries that science allows humanity to make about nature and the universe. Salam also held the opinion that the Quran and the Islamic spirit of study and rational reflection was the source of extraordinary civilizational development. Salam highlights, in particular, the work of Ibn al-Haytham and Al-Biruni as the pioneers of empiricism who introduced the experimental approach, breaking way from Aristotle's influence, and thus giving birth to modern science. Salam was also careful to differentiate between metaphysics and physics, and advised against empirically probing certain matters on which ""physics is silent and will remain so,"" such as the doctrine of ""creation from nothing"" which in Salam's view is outside the limits of science and thus ""gives way"" to religious considerations.",375:21:0
8,Hunter-gatherer,"It is easy for Western-educated scholars to fall into the trap of viewing hunter-gatherer social and sexual arrangements in the light of Western values.[editorializing] One common arrangement is the sexual division of labour, with women doing most of the gathering, while men concentrate on big game hunting. It might be imagined that this arrangement oppresses women, keeping them in the domestic sphere. However, according to some observers, hunter-gatherer women would not understand this interpretation. Since childcare is collective, with every baby having multiple mothers and male carers, the domestic sphere is not atomised or privatised but an empowering place to be.[citation needed] In all hunter-gatherer societies, women appreciate the meat brought back to camp by men. An illustrative account is Megan Biesele's study of the southern African Ju/'hoan, 'Women Like Meat'. Recent archaeological research suggests that the sexual division of labor was the fundamental organisational innovation that gave Homo sapiens the edge over the Neanderthals, allowing our ancestors to migrate from Africa and spread across the globe.",52:16:0
9,Anti-aircraft_warfare,"The term air defence was probably first used by Britain when Air Defence of Great Britain (ADGB) was created as a Royal Air Force command in 1925. However, arrangements in the UK were also called 'anti-aircraft', abbreviated as AA, a term that remained in general use into the 1950s. After the First World War it was sometimes prefixed by 'Light' or 'Heavy' (LAA or HAA) to classify a type of gun or unit. Nicknames for anti-aircraft guns include AA, AAA or triple-A, an abbreviation of anti-aircraft artillery; ""ack-ack"" (from the spelling alphabet used by the British for voice transmission of ""AA""); and archie (a World War I British term probably coined by Amyas Borton and believed to derive via the Royal Flying Corps from the music-hall comedian George Robey's line ""Archibald, certainly not!"")",158:14:0
10,United_States_Air_Force,"The service's B-2A aircraft entered service in the 1990s, its B-1B aircraft in the 1980s and its current B-52H aircraft in the early 1960s. The B-52 Stratofortress airframe design is over 60 years old and the B-52H aircraft currently in the active inventory were all built between 1960 and 1962. The B-52H is scheduled to remain in service for another 30 years, which would keep the airframe in service for nearly 90 years, an unprecedented length of service for any aircraft. The B-21 is projected to replace the B-52 and parts of the B-1B force by the mid-2020s.",416:47:0
11,Liberia,"The Central Bank of Liberia is responsible for printing and maintaining the Liberian dollar, which is the primary form of currency in Liberia. Liberia is one of the world's poorest countries, with a formal employment rate of 15%. GDP per capita peaked in 1980 at US$496, when it was comparable to Egypt's (at the time). In 2011, the country's nominal GDP was US$1.154 billion, while nominal GDP per capita stood at US$297, the third-lowest in the world. Historically, the Liberian economy has depended heavily on foreign aid, foreign direct investment and exports of natural resources such as iron ore, rubber and timber.",404:14:0
12,Chinese_characters,"It was not until the Northern and Southern dynasties that regular script rose to dominant status. During that period, regular script continued evolving stylistically, reaching full maturity in the early Tang dynasty. Some call the writing of the early Tang calligrapher Ouyang Xun (557–641) the first mature regular script. After this point, although developments in the art of calligraphy and in character simplification still lay ahead, there were no more major stages of evolution for the mainstream script.",255:17:0
13,Plymouth,"Plymouth's gross value added (a measure of the size of its economy) was 5,169 million GBP in 2013 making up 25% of Devon's GVA. Its GVA per person was £19,943 and compared to the national average of £23,755, was £3,812 lower. Plymouth's unemployment rate was 7.0% in 2014 which was 2.0 points higher than the South West average and 0.8 points higher than the average for Great Britain (England, Wales and Scotland).",43:43:0
14,Computer,"Seemingly, multitasking would cause a computer that is switching between several programs to run more slowly, in direct proportion to the number of programs it is running, but most programs spend much of their time waiting for slow input/output devices to complete their tasks. If a program is waiting for the user to click on the mouse or press a key on the keyboard, then it will not take a ""time slice"" until the event it is waiting for has occurred. This frees up time for other programs to execute so that many programs may be run simultaneously without unacceptable speed loss.",104:65:0
15,Southern_Europe,"Italy became a major industrialized country again, due to its post-war economic miracle. The European Union (EU) involved the division of powers, with taxation, health and education handled by the nation states, while the EU had charge of market rules, competition, legal standards and environmentalism. The Soviet economic and political system collapsed, leading to the end of communism in the satellite countries in 1989, and the dissolution of the Soviet Union itself in 1991. As a consequence, Europe's integration deepened, the continent became depolarised, and the European Union expanded to subsequently include many of the formerly communist European countries – Romania and Bulgaria (2007) and Croatia (2013).",40:16:0
16,Central_African_Republic,"A new government was appointed on 31 March 2013, which consisted of members of Séléka and representatives of the opposition to Bozizé, one pro-Bozizé individual, and a number representatives of civil society. On 1 April, the former opposition parties declared that they would boycott the government. After African leaders in Chad refused to recognize Djotodia as President, proposing to form a transitional council and the holding of new elections, Djotodia signed a decree on 6 April for the formation of a council that would act as a transitional parliament. The council was tasked with electing a president to serve prior to elections in 18 months.",313:18:0
17,Nigeria,"Nigeria in recent years has been embracing industrialisation. It currently has an indigenous vehicle manufacturing company, Innoson Motors, which manufactures Rapid Transit Buses, Trucks and SUVs with an upcoming introduction of Cars. Nigeria also has few Electronic manufacturers like Zinox, the first Branded Nigerian Computer and Electronic gadgets (like tablet PCs) manufacturers. In 2013, Nigeria introduced a policy regarding import duty on vehicles to encourage local manufacturing companies in the country. In this regard, some foreign vehicle manufacturing companies like Nissan have made known their plans to have manufacturing plants in Nigeria. Ogun is considered to be the current Nigeria's industrial hub, as most factories are located in Ogun and more companies are moving there, followed by Lagos.",257:31:0
18,Alexander_Graham_Bell,"Bell and his assistant Charles Sumner Tainter jointly invented a wireless telephone, named a photophone, which allowed for the transmission of both sounds and normal human conversations on a beam of light. Both men later became full associates in the Volta Laboratory Association.",56:51:0
19,Chihuahua_(state),"The state united behind the Plan of Ayutla and ratified the new constitution in 1855. The state was able to survive through the Reform War with minimal damage due to the large number of liberal political figures. The 1858 conservative movement did not succeed in the state even after the successful military campaign of the conservative Zuloaga with 1,000 men occupied the cities of Chihuahua and Parral. In August 1859, Zuloaga and his forces were defeated by the liberal Orozco and his forces; Orozco soon after deposed the state governor, but had to flee to Durango two months later. In the late 1860s the conservative General Cajen briefly entered the state after his campaign through the state of Jalisco and helped establish conservative politicians and ran out the liberal leaders Jesús González Ortega and José María Patoni. Cajen took possession of the state capital and established himself as governor; he brooked no delay in uniting a large force to combat the liberal forces which he defeated in La Batalla del Gallo. Cajen attained several advantages over the liberals within the state, but soon lost his standing due to a strong resurgence of the liberal forces within the state. The successful liberal leaders José María Patoni of Durango and J.E. Muñoz of Chihuahua quickly strengthened their standing by limiting the political rights of the clergy implementing the presidential decree. The state elected General Luis Terrazas, a liberal leader, as governor; he would continue to fight small battles within the state to suppress conservative uprisings during 1861.",115:26:0
