query_id,question,title
0,When was the Metropolitan Police Act passed?,Police
1,What composer did Kanye collaborate with for his second record?,Kanye_West
2,What is the standard pronunciation of Catalan?,Catalan_language
3,What area of New Haven comprises the area centered around the business district and New Haven Green?,"New_Haven,_Connecticut"
4,What Japanese term was used in reference to Roman Catholics?,Christian
5,Who do the Shia believe are the rightful successors of Muhammad?,Imamah_(Shia_doctrine)
6,Who was Chief of Staff of the Army before Eisenhower?,Dwight_D._Eisenhower
7,"John Locke, Francis Bacon, and Isaac Newton where considered the the greatest men who ever lived by which American colonist?",Age_of_Enlightenment
8,What is the term that refers to areas where an antennas radiation is zero?,Antenna_(radio)
9,What on behalf of a state cannot invalidate that state's consent to a treaty?,Treaty
10,Which school granted Lee an honory doctorate in 2006?,To_Kill_a_Mockingbird
11,What other Spanish Speaking people come to America?,Spanish_language_in_the_United_States
12,How many strikes has Yale had since 1968?,Yale_University
13,At what stage do parents see their children as equals?,Adolescence
14,What boat was Rassmann on?,John_Kerry
15,Which television network aired the Winter Olympics in 2010?,American_Idol
16,What is the formal name for the closing protocol of a treaty?,Treaty
17,Who was Tito considered loyal to?,Josip_Broz_Tito
18,Beyonce's sex appeal is characterized as what?,Beyoncé
19,What trouble can interference cause?,Memory
20,How many students attend BYU on campus?,Brigham_Young_University
21,What needs to be isolated from infected tissue to provide a biochemical diagnosis of an infectious disease?,Infection
22,Diarrheal disease has what effects on a person?,Diarrhea
23,Who was the first naturalist to ascend the mountains?,Alps
24,Boston is split between how many congressional districts?,Boston
25,what group did Marshall Jefferson form?,House_music
26,"In the fall of 2014, which school did 40.6% of undergraduates enroll in?",Northwestern_University
27,Who was made Secretary of State for Education in 1970?,Comprehensive_school
28,What was the first station launched after the original BBC?,BBC_Television
29,What is Lee's strongest style of writing?,To_Kill_a_Mockingbird
30,How many heads did the scarlet beast which a woman sat on have?,Red
31,Who are Swiss citizens required to buy health insurance from?,Switzerland
32,What is USB?,USB
33,What is Catalan being supplanted by in Alicante?,Catalan_language
34,When was control passed to the Mamluk sultans of Egypt?,Israel
35,Safety reasons may be why someone wears this type of clothing.,Clothing
36,How can asymmetry of causation be observed?,Philosophy_of_space_and_time
37,How much oil is Egypt producing in a day?,Egypt
38,What English Archbishop was a member of the Freemasons?,Freemasonry
39,What is the total length of the Delhi Metro?,New_Delhi
40,When was Warren Hastings impeached?,Edmund_Burke
41,What term is given to the slums established on the souther banks of the Yarra?,Melbourne
42,"What Revolutionary War motto have Washington, D.C. statehood supporters modified and used?",51st_state
